Date,Open,High,Low,Close,Ticker,,
2022-08-23,17357.34961,17625.55078,17345.19922,17577.5,NSEI,,
2022-08-24,17525.44922,17623.65039,17499.25,17604.94922,NSEI,,
2022-08-25,17679,17726.5,17487.44922,17522.44922,NSEI,,
2022-08-26,17619.30078,17685.84961,17519.34961,17558.90039,NSEI,,
2022-08-29,17188.65039,17380.15039,17166.19922,17312.90039,NSEI,,
2022-08-30,17414.94922,17777.65039,17401.5,17759.30078,NSEI,,
2022-09-01,17485.69922,17695.59961,17468.44922,17542.80078,NSEI,,
2022-09-02,17598.40039,17643.84961,17476.44922,17539.44922,NSEI,,
2022-09-05,17546.44922,17683.15039,17540.34961,17665.80078,NSEI,,
2022-09-06,17695.69922,17764.65039,17587.65039,17655.59961,NSEI,,
2022-09-07,17519.40039,17650.75,17484.30078,17624.40039,NSEI,,
2022-09-08,17748.15039,17807.65039,17691.94922,17798.75,NSEI,,
2022-09-09,17923.34961,17925.94922,17786,17833.34961,NSEI,,
2022-09-12,17890.84961,17980.55078,17889.15039,17936.34961,NSEI,,
2022-09-13,18044.44922,18088.30078,18015.44922,18070.05078,NSEI,,
2022-09-14,17771.15039,18091.55078,17771.15039,18003.75,NSEI,,
2022-09-15,18046.34961,18096.15039,17861.5,17877.40039,NSEI,,
2022-09-16,17796.80078,17820.05078,17497.25,17530.84961,NSEI,,
2022-09-19,17540.65039,17667.19922,17429.69922,17622.25,NSEI,,
2022-09-20,17770.40039,17919.30078,17744.40039,17816.25,NSEI,,
2022-09-21,17766.34961,17838.69922,17663.59961,17718.34961,NSEI,,
2022-09-22,17609.65039,17722.75,17532.44922,17629.80078,NSEI,,
2022-09-23,17593.84961,17642.15039,17291.65039,17327.34961,NSEI,,
2022-09-26,17156.30078,17196.40039,16978.30078,17016.30078,NSEI,,
2022-09-27,17110.90039,17176.44922,16942.34961,17007.40039,NSEI,,
2022-09-28,16870.55078,17037.59961,16820.40039,16858.59961,NSEI,,
2022-09-29,16993.59961,17026.05078,16788.59961,16818.09961,NSEI,,
2022-09-30,16798.05078,17187.09961,16747.69922,17094.34961,NSEI,,
2022-10-03,17102.09961,17114.65039,16855.55078,16887.34961,NSEI,,
2022-10-04,17147.44922,17287.30078,17117.30078,17274.30078,NSEI,,
2022-10-06,17379.25,17428.80078,17315.65039,17331.80078,NSEI,,
2022-10-07,17287.19922,17337.34961,17216.94922,17314.65039,NSEI,,
2022-10-10,17094.34961,17280.15039,17064.69922,17241,NSEI,,
2022-10-11,17256.05078,17261.80078,16950.30078,16983.55078,NSEI,,
2022-10-12,17025.55078,17142.34961,16960.05078,17123.59961,NSEI,,
2022-10-13,17087.34961,17112.34961,16956.94922,17014.34961,NSEI,,
2022-10-14,17322.30078,17348.55078,17169.75,17185.69922,NSEI,,
2022-10-17,17144.80078,17328.55078,17098.55078,17311.80078,NSEI,,
2022-10-18,17438.75,17527.80078,17434.05078,17486.94922,NSEI,,
2022-10-19,17568.15039,17607.59961,17472.84961,17512.25,NSEI,,
2022-10-20,17423.09961,17584.15039,17421,17563.94922,NSEI,,
2022-10-21,17622.84961,17670.15039,17520.75,17576.30078,NSEI,,
2022-10-24,17736.34961,17777.55078,17707.40039,17730.75,NSEI,,
2022-10-25,17808.30078,17811.5,17637,17656.34961,NSEI,,
2022-10-27,17771.40039,17783.90039,17654.5,17736.94922,NSEI,,
2022-10-28,17756.40039,17838.90039,17723.69922,17786.80078,NSEI,,
2022-10-31,17910.19922,18022.80078,17899.90039,18012.19922,NSEI,,
2022-11-01,18130.69922,18175.80078,18060.15039,18145.40039,NSEI,,
2022-11-02,18177.90039,18178.75,18048.65039,18082.84961,NSEI,,
2022-11-03,17968.34961,18106.30078,17959.19922,18052.69922,NSEI,,
2022-11-04,18053.40039,18135.09961,18017.15039,18117.15039,NSEI,,
2022-11-07,18211.75,18255.5,18064.75,18202.80078,NSEI,,
2022-11-09,18288.25,18296.40039,18117.5,18157,NSEI,,
2022-11-10,18044.34961,18103.09961,17969.40039,18028.19922,NSEI,,
