Date,CumulativeReturns
22-06-20,
23-06-20,1.0154976915296436
24-06-20,0.9994277688449886
25-06-20,0.9978373215952107
26-06-20,1.0069632825090526
29-06-20,1.0001163967313913
30-06-20,0.9991174073024012
01-07-20,1.0115262634508835
02-07-20,1.0233241519255927
03-07-20,1.0287211385925765
06-07-20,1.0438794884420928
07-07-20,1.04737083758688
08-07-20,1.0382641974112774
09-07-20,1.0487091696658166
10-07-20,1.0443061526436082
13-07-20,1.047666614018415
14-07-20,1.0287211385925765
15-07-20,1.0297734496513804
16-07-20,1.0415809984952094
17-07-20,1.0572678241665798
20-07-20,1.0689541456095484
21-07-20,1.0825364442055936
22-07-20,1.0796608924342292
23-07-20,1.0876959017826076
24-07-20,1.0856302052985067
27-07-20,1.0795833262940626
28-07-20,1.0959490254102526
29-07-20,1.0864738723625986
30-07-20,1.0767078685951614
31-07-20,1.0739244690448355
03-08-20,1.0562882495482924
04-08-20,1.0760386555194614
05-08-20,1.0766593776348172
06-08-20,1.0862120968226379
07-08-20,1.0875600892706945
10-08-20,1.0930008312708352
11-08-20,1.0980777969959308
12-08-20,1.0967103897371715
13-08-20,1.0959393650411324
14-08-20,1.0841027400476617
17-08-20,1.0907653223530656
18-08-20,1.1041730728882553
19-08-20,1.1064085818060243
20-08-20,1.0970789026092223
21-08-20,1.102839571478788
24-08-20,1.1120383638754285
25-08-20,1.1126008396190379
26-08-20,1.1201023533613468
27-08-20,1.1210382667189405
28-08-20,1.1296065815888234
31-08-20,1.1043816218406848
01-09-20,1.1124068757776608
02-09-20,1.1186864551422435
03-09-20,1.1179542610374291
04-09-20,1.0991785039727957
07-09-20,1.1012345400877768
08-09-20,1.0975783022814347
09-09-20,1.09376210152529
10-09-20,1.1103702554432016
11-09-20,1.1118444000340515
14-09-20,1.1094780033463023
15-09-20,1.11740627536259
16-09-20,1.125431529299566
17-09-20,1.116853459018281
18-09-20,1.115772167821937
21-09-20,1.091099929375825
22-09-20,1.0817024375106201
23-09-20,1.0795881559937117
24-09-20,1.0479429746694273
25-09-20,1.0716744690884765
28-09-20,1.088869345199989
29-09-20,1.088369944557957
30-09-20,1.0908089836137598
01-10-20,1.1072377588013464
05-10-20,1.1156169395295026
06-10-20,1.1310419896609123
07-10-20,1.1384561818516525
08-10-20,1.1477422007575797
09-10-20,1.1554620188637204
12-10-20,1.1570864660352531
13-10-20,1.1574307324573132
14-10-20,1.1609754032319142
15-10-20,1.132782739491373
16-10-20,1.1407450123992349
19-10-20,1.151471175004438
20-10-20,1.1537744956207907
21-10-20,1.1577362633304313
22-10-20,1.1537405897714987
23-10-20,1.1570282196635069
26-10-20,1.1412589971825002
27-10-20,1.1530568856572097
28-10-20,1.1375590990852837
29-10-20,1.1318565815451822
30-10-20,1.1291023512471419
02-11-20,1.13169661762556
03-11-20,1.145695920054001
04-11-20,1.1549092025194116
05-11-20,1.1754499548946782
06-11-20,1.1893426150333108
09-11-20,1.2084965443692963
10-11-20,1.2249883005859972
11-11-20,1.236437091969177
12-11-20,1.230778140647487
13-11-20,1.2336052014585066
14-11-20,1.2336052014585066
17-11-20,1.248564662724713
18-11-20,1.2547763353484296
19-11-20,1.2386240158541384
20-11-20,1.2470953488033327
23-11-20,1.253631968080689
24-11-20,1.2661135596998687
25-11-20,1.2470323668043997
26-11-20,1.259504203981996
27-11-20,1.257753699709952
01-12-20,1.2713408289754669
02-12-20,1.2717966624292678
03-12-20,1.273750885954091
04-12-20,1.2858396261184026
07-12-20,1.295266287235893
08-12-20,1.2988740340818907
09-12-20,1.3120780653643016
10-12-20,1.3071514031897082
11-12-20,1.3105990910738015
14-12-20,1.3148954658062018
15-12-20,1.3158361147909823
16-12-20,1.3269745456013937
17-12-20,1.3325994970013288
18-12-20,1.3345245503040473
21-12-20,1.2926138695280112
22-12-20,1.3059876201414462
23-12-20,1.3190607636538765
24-12-20,1.333428673026832
28-12-20,1.34544960149256
29-12-20,1.3512102703621258
30-12-20,1.3559963853674382
31-12-20,1.3559769695869164
01-01-21,1.35954105517222
04-01-21,1.3706358247219375
05-01-21,1.3770947828168447
06-01-21,1.37193049554018
07-01-21,1.371067318623103
08-01-21,1.3914238615985757
11-01-21,1.4047588756932492
12-01-21,1.4123913722478212
13-01-21,1.412527089717452
14-01-21,1.4155092837786243
15-01-21,1.3998079680384838
18-01-21,1.3850278855026024
19-01-21,1.4082890554292613
20-01-21,1.4202711533037646
21-01-21,1.4150001286950096
22-01-21,1.3938145037664975
25-01-21,1.3809159083149225
27-01-21,1.354594977217105
28-01-21,1.3400525197832944
29-01-21,1.3223096579969427
01-02-21,1.3850182251334822
02-02-21,1.4205765891346
03-02-21,1.434357777283774
04-02-21,1.4446087847271172
05-02-21,1.44738242983586
08-02-21,1.4659592983171839
09-02-21,1.4653289158327083
10-02-21,1.4650573848813453
11-02-21,1.4715357587567746
12-02-21,1.4705659395498893
15-02-21,1.4852490401650824
16-02-21,1.4851278127642218
17-02-21,1.4749883713828007
18-02-21,1.466264829190302
19-02-21,1.452958890275451
22-02-21,1.4232775928451091
23-02-21,1.426390674676262
24-02-21,1.452983135755623
25-02-21,1.4641699624840965
26-02-21,1.4090649107947695
01-03-21,1.4316034529132708
02-03-21,1.446882935121365
03-03-21,1.4785475322261714
04-03-21,1.4625601004236157
05-03-21,1.448725591614447
08-03-21,1.4504810215982429
09-03-21,1.4642718691467174
10-03-21,1.4716812316378072
12-03-21,1.4577304201697103
15-03-21,1.4478915849194745
16-03-21,1.446044098726742
17-03-21,1.4276999306055567
18-03-21,1.4118482162726316
