Date,Open,High,Low,Close,Commission,Slippage,Ticker
22-06-20,10318.75,10393.65039,10277.59961,10311.2002,31037.10059,155.185503,NSEI
23-06-20,10347.9502,10484.7002,10301.75,10471,31037.10059,155.185503,NSEI
24-06-20,10529.25,10553.15039,10281.9502,10305.29981,31037.10059,155.185503,NSEI
25-06-20,10235.54981,10361.79981,10194.5,10288.90039,31037.10059,155.185503,NSEI
26-06-20,10378.90039,10409.84961,10311.25,10383,31037.10059,155.185503,NSEI
29-06-20,10311.9502,10337.9502,10223.59961,10312.40039,31037.10059,155.185503,NSEI
30-06-20,10382.59961,10401.04981,10267.34961,10302.09961,31037.10059,155.185503,NSEI
01-07-20,10323.79981,10447.04981,10299.59961,10430.04981,31037.10059,155.185503,NSEI
02-07-20,10493.04981,10598.2002,10485.54981,10551.7002,31037.10059,155.185503,NSEI
03-07-20,10614.9502,10631.29981,10562.65039,10607.34961,31037.10059,155.185503,NSEI
06-07-20,10723.84961,10811.40039,10695.09961,10763.65039,31037.10059,155.185503,NSEI
07-07-20,10802.84961,10813.79981,10689.7002,10799.65039,31037.10059,155.185503,NSEI
08-07-20,10818.65039,10847.84961,10676.54981,10705.75,31037.10059,155.185503,NSEI
09-07-20,10755.54981,10836.84961,10733,10813.4502,31037.10059,155.185503,NSEI
10-07-20,10764.09961,10819.40039,10713,10768.04981,31037.10059,155.185503,NSEI
13-07-20,10851.84961,10894.04981,10756.04981,10802.7002,31037.10059,155.185503,NSEI
14-07-20,10750.84961,10755.65039,10562.90039,10607.34961,31037.10059,155.185503,NSEI
15-07-20,10701,10827.4502,10577.75,10618.2002,31037.10059,155.185503,NSEI
16-07-20,10706.2002,10755.29981,10595.2002,10739.9502,31037.10059,155.185503,NSEI
17-07-20,10752,10933.4502,10749.65039,10901.7002,31037.10059,155.185503,NSEI
20-07-20,10999.4502,11037.90039,10953,11022.2002,31037.10059,155.185503,NSEI
21-07-20,11126.09961,11179.54981,11113.25,11162.25,31037.10059,155.185503,NSEI
22-07-20,11231.2002,11238.09961,11056.54981,11132.59961,31037.10059,155.185503,NSEI
23-07-20,11135,11239.79981,11103.15039,11215.4502,31037.10059,155.185503,NSEI
24-07-20,11149.9502,11225.40039,11090.29981,11194.15039,31037.10059,155.185503,NSEI
27-07-20,11225,11225,11087.84961,11131.79981,31037.10059,155.185503,NSEI
28-07-20,11154.09961,11317.75,11151.40039,11300.54981,31037.10059,155.185503,NSEI
29-07-20,11276.90039,11341.40039,11149.75,11202.84961,31037.10059,155.185503,NSEI
30-07-20,11254.29981,11299.9502,11084.9502,11102.15039,31037.10059,155.185503,NSEI
31-07-20,11139.5,11150.40039,11026.65039,11073.4502,31037.10059,155.185503,NSEI
03-08-20,11057.54981,11058.04981,10882.25,10891.59961,31037.10059,155.185503,NSEI
04-08-20,10946.65039,11112.25,10908.09961,11095.25,31037.10059,155.185503,NSEI
05-08-20,11155.75,11225.65039,11064.04981,11101.65039,31037.10059,155.185503,NSEI
06-08-20,11185.7002,11256.79981,11127.29981,11200.15039,31037.10059,155.185503,NSEI
07-08-20,11186.65039,11231.90039,11142.04981,11214.04981,31037.10059,155.185503,NSEI
10-08-20,11270.25,11337.29981,11238,11270.15039,31037.10059,155.185503,NSEI
11-08-20,11322.25,11373.59961,11299.15039,11322.5,31037.10059,155.185503,NSEI
12-08-20,11289,11322,11242.65039,11308.40039,31037.10059,155.185503,NSEI
13-08-20,11334.84961,11359.29981,11269.9502,11300.4502,31037.10059,155.185503,NSEI
14-08-20,11353.29981,11366.25,11111.4502,11178.40039,31037.10059,155.185503,NSEI
17-08-20,11248.90039,11267.09961,11144.5,11247.09961,31037.10059,155.185503,NSEI
18-08-20,11259.79981,11401.7002,11253.15039,11385.34961,31037.10059,155.185503,NSEI
19-08-20,11452.15039,11460.34961,11394.09961,11408.40039,31037.10059,155.185503,NSEI
20-08-20,11317.4502,11361.4502,11289.79981,11312.2002,31037.10059,155.185503,NSEI
21-08-20,11409.65039,11418.5,11362.2002,11371.59961,31037.10059,155.185503,NSEI
24-08-20,11412,11497.25,11410.65039,11466.4502,31037.10059,155.185503,NSEI
